2,3-Dihydroxybenzoic acid	1.405	0.235	1.17	1.64	0.0001
3-phosphoglycerate	1.545	0.035	1.51	1.58	0.001
4-hydroxybenzoate	5.29	0.86	4.43	6.15	0.00001
6-phospho-D-gluconate	3.77	0.08	3.69	3.85	0.001
acetoacetyl-CoA	2.42	1.05	1.37	3.47	0.00001
acetyl-CoA	6.115	0.825	5.29	6.94	0.0001
acetylphosphate	1.075	0.055	1.02	1.13	0.001
aconitate	1.63	0.25	1.38	1.88	0.00001
adenine	1.485	0.225	1.26	1.71	0.000001
adenosine	1.382	0.438	0.944	1.82	0.0000001
adenosine-phosphosulfate	6.86	1.76	5.1	8.62	0.000001
ADP	5.705	1.335	4.37	7.04	0.0001
adp-glucose	4.635	1.805	2.83	6.44	0.000001
alanine	2.56	0.24	2.32	2.8	0.001
alpha-ketoglutarate	4.715	1.595	3.12	6.31	0.0001
AMP	2.865	0.545	2.32	3.41	0.0001
anthranilate	3.48	0.14	3.34	3.62	0.000001
arginine	5.77	0.98	4.79	6.75	0.0001
asparagine	5.17	0.75	4.42	5.92	0.0001
aspartate	4.3	0.74	3.56	5.04	0.001
ATP	4.635	-3.495	8.13	1.14	0.01
carbamyl-aspartate	6.595	2.955	3.64	9.55	0.0001
citrate	2.29	1.19	1.1	3.48	0.001
citrulline	1.355	0.125	1.23	1.48	0.001
CMP	4.405	2.535	1.87	6.94	0.0001
coenzyme-A	5.475	-3.355	8.83	2.12	0.01
CTP	2.77	0.5	2.27	3.27	0.001
cyclic-AMP	3.605	0.785	2.82	4.39	0.00001
cytidine	3.425	2.245	1.18	5.67	0.000001
cytosine	1.5775	0.7125	0.865	2.29	0.00001
dAMP	1.4595	1.1605	0.299	2.62	0.00001
dATP	1.8865	1.0735	0.813	2.96	0.00001
